"B01001_001E","B11001_001E","B19049_005E","zipcode"
"22807","8059","46451","02346"
"10533","3586","50069","02347"
"15841","5962","39828","02351"
"13043","4227","42198","02356"
"1011","13","0","02357"
"17708","6259","43611","02359"
"55865","20946","41198","02360"
"12556","4624","37808","02364"
"146","0","0","02366"
"2799","991","50000","02367"
"32089","12082","29170","02368"
"17515","6912","35489","02370"
"9007","3612","45430","02375"
"6896","2432","44750","02379"
"14430","5192","32563","02382"
"13831","4956","76125","02420"
"17298","6455","74152","02421"
"21110","8591","64744","02445"
"28601","13268","38063","02446"
"16662","7317","41939","02451"
"14318","4820","46000","02452"
"29229","11383","37589","02453"
"1278","11","0","02457"
"11048","4663","30893","02458"
"18244","6532","68869","02459"
"9080","3578","56250","02460"
"6923","2636","79375","02461"
"1453","627","55481","02462"
"2834","1169","17250","02464"
"11759","4300","70306","02465"
"8338","2982","40847","02466"
"21952","6237","87643","02467"
"4897","1747","102216","02468"
"32025","14134","40411","02472"
"26433","11955","55456","02474"
"16137","7052","39784","02476"
"24473","9438","59444","02478"
"16021","4596","80313","02481"
"10519","3946","54034","02482"
"19901","6961","65964","02492"
"11229","3557","99135","02493"
"8885","3389","47286","02494"
"11698","4956","35384","02532"
"895","392","63242","02534"
"1267","394","46250","02535"
"19864","8520","46760","02536"
"6181","2358","49871","02537"
"3451","1317","37500","02538"
"4034","1466","82958","02539"
"8355","4105","41221","02540"
"1237","367","0","02542"
"613","338","136346","02543"
"275","140","0","02553"
"9914","3650","39637","02554"
"2880","1358","42069","02556"
"4449","1429","32966","02557"
"1363","724","27650","02558"
"3772","1714","40777","02559"
"443","182","63889","02561"
"3403","1285","41333","02562"
"10285","3988","45727","02563"
"221","95","0","02564"
"3999","1297","22393","02568"
"11535","4839","34623","02571"
"2421","919","72321","02575"
"3492","1417","27917","02576"
"0","0","0","02584"
"13442","6325","31220","02601"
"1706","878","40598","02630"
"9734","4281","51165","02631"
"11491","4997","49688","02632"
"4298","2033","66389","02633"
"3464","1517","57132","02635"
"105","62","61250","02637"
"3378","1650","40169","02638"
"3368","1460","35125","02639"
"532","269","81576","02641"
"5011","2404","50636","02642"
"9","9","0","02643"
"3934","1268","38654","02644"
"9440","4094","40988","02645"
"1771","908","46875","02646"
"125","65","90938","02647"
"7633","3112","46013","02648"
"13900","5753","45980","02649"
"884","413","64808","02650"
"0","0","0","02651"
"1407","600","40667","02652"
"6001","2914","57292","02653"
"3638","1630","60375","02655"
"2994","1645","44318","02657"
"915","423","50156","02659"
"5881","2738","44500","02660"
"49","49","0","02663"
"9295","4712","34657","02664"
"496","273","87250","02666"
"2809","1572","54207","02667"
"3414","1289","58558","02668"
"80","51","81125","02669"
"1233","673","57813","02670"
"1103","573","36705","02671"
"109","72","29043","02672"
"8793","4178","38613","02673"
"6190","3107","46922","02675"
"4090","1483","31125","02702"
"43459","16393","29933","02703"
"145","35","85000","02713"
"2747","953","28367","02715"
"4738","1667","43000","02717"
"6919","2435","32614","02718"
"15915","6444","27210","02719"
"31341","13192","26219","02720"
"25660","10867","21349","02721"
"14753","6457","20363","02723"
